Country,Median age,ISO-code
Afghanistan,27.4,AFG
Albania,32.9,ALB
Algeria,28.1,DZA
American Samoa,25.5,ASM
Andorra,44.3,AND
Angola,15.9,AGO
Anguilla,34.8,AIA
Antigua and Barbuda,31.9,ATG
Argentina,31.7,ARG
Armenia,35.1,ARM
Aruba,39.3,ABW
Australia,38.7,AUS
Austria,44,AUT
Azerbaijan,32.3,AZE
The Bahamas,32,BHS
Bahrain,32.3,BHR
Bangladesh,26.7,BGD
Barbados,38.6,BRB
Belarus,40,BLR
Belgium,41.4,BEL
Belize,22.7,BLZ
Benin,18.2,BEN
Bermuda,43.4,BMU
Bhutan,27.6,BTN
Bolivia,24.3,BOL
Bosnia and Herzegovina,42.1,BIH
Botswana,24.5,BWA
Brazil,32.6,BRA
British Virgin Islands,36.5,
Brunei,30.2,BRN
Bulgaria,42.7,BGR
Burkina Faso,17.3,BFA
Burundi,17,BDI
Cape Verde,25.4,CPV
Cambodia,25.3,KHM
Cameroon,18.5,CMR
Canada,42.2,CAN
Cayman Islands,40,CYM
Central African Republic,19.7,CAF
Chad,17.8,TCD
Chile,34.4,CHL
China,37.4,CHN
Colombia,30,COL
Comoros,19.9,COM
Democratic Republic of the Congo,18.6,COD
Republic of the Congo,19.7,COG
Cook Islands,36.5,COK
Costa Rica,31.3,CRI
Ivory Coast,20.9,CIV
Croatia,43,HRV
Cuba,41.5,CUB
Curacao,36.1,CUW
Cyprus,36.8,CYP
Czech Republic,42.1,CZE
Denmark,42.2,DNK
Djibouti,23.9,DJI
Dominica,33.5,DMA
Dominican Republic,28.1,DOM
Ecuador,27.7,ECU
Egypt,23.9,EGY
El Salvador,27.1,SLV
Equatorial Guinea,19.8,GNQ
Eritrea,19.7,ERI
Estonia,42.7,EST
Eswatini,21.7,SWZ
Ethiopia,17.9,ETH
Faroe Islands,37.6,FRO
Fiji,28.9,FJI
Finland,42.5,FIN
France,41.4,FRA
French Polynesia,31.9,PYF
Gabon,18.6,GAB
The Gambia,21,GMB
Georgia,38.1,GEO
Germany,47.1,DEU
Ghana,21.1,GHA
Gibraltar,34.7,GIB
Greece,44.5,GRC
Greenland,33.9,GRL
